Step,Time,Value
1,84.48,-242119617
2,121.93,-137333758
3,121.27,-1020185306
4,116.05,1094464860
5,117.34,364116797
6,119.99,1890717929
7,118.89,1389644677
8,118.58,-646900922
9,116.87,512525008
10,118.18,565098736
11,119.88,250651895
12,116.93,1249648662
13,121.53,998378031
14,160.66,-291046650
15,141.45,1061071427
16,305.46,1956981595
32,102.95,1114716023
64,95.86,513998888
128,30.72,2113492370
256,11.87,1123425728
512,7.39,1413495879
1024,3.71,1857304611
2048,1.86,719045274
4096,1.03,1867170707
