Dim,	ArraySize(KB),	Row-Major Time,	Sample,		Col-Major Time,	Sample,	Fast Random Time,	Sample,	Proper Random Time,	Sample
    5,	          0,	0.000000000,	      19,	 0.000000000,	       19,	 0.000000238,	       12,	 0.000000477,	        9
   10,	          0,	0.000000000,	      11,	 0.000000238,	       11,	 0.000000715,	       96,	 0.000001669,	        6
   25,	          2,	0.000000238,	      87,	 0.000000238,	       87,	 0.000004053,	       63,	 0.000008583,	       71
   50,	          9,	0.000000477,	      47,	 0.000001431,	       47,	 0.000017166,	       33,	 0.000033617,	      115
   75,	         21,	0.000001192,	     231,	 0.000003099,	      431,	 0.000038862,	      196,	 0.000074863,	       89
  100,	         39,	0.000001907,	     323,	 0.000004768,	      323,	 0.000069141,	      265,	 0.000133753,	      338
  150,	         87,	0.000003815,	     269,	 0.000010252,	      269,	 0.000184298,	      208,	 0.000347137,	        8
  200,	        156,	0.000007629,	   15655,	 0.000020266,	     5407,	 0.000291109,	    15402,	 0.000578880,	     5202
  250,	        244,	0.000012398,	   40749,	 0.000030041,	    24449,	 0.000491619,	    23976,	 0.000874519,	    32040
  300,	        351,	0.000016451,	     440,	 0.000054121,	      440,	 0.000624657,	      290,	 0.001371145,	       84
  400,	        625,	0.000027657,	   86183,	 0.000100136,	    10625,	 0.001213551,	    85089,	 0.002409220,	     9089
  500,	        976,	0.000043154,	   10987,	 0.000153303,	    19105,	 0.001819372,	    34749,	 0.003742695,	     1701
  750,	       2197,	0.000102997,	  519840,	 0.001026630,	   444856,	 0.004262924,	     5768,	 0.008372307,	   139482
 1000,	       3906,	0.000182629,	  535589,	 0.001981974,	   153927,	 0.010857105,	   195842,	 0.024224520,	    63711
 2000,	      15625,	0.001663685,	  696983,	 0.009033680,	   756350,	 0.029680729,	   477400,	 0.148055077,	  1102178
 5000,	      97656,	0.010632515,	 3009511,	 0.073091984,	 14898327,	 0.179222345,	 12770772,	 1.120888710,	 13678308
10000,	     390625,	0.041549921,	45157394,	 0.316028595,	 34859489,	 0.753070354,	 12590234,	 4.570896387,	 64244549
20000,	    1562500,	0.174290419,	 6310149,	 1.234384775,	 22133055,	 3.213255405,	 25652356,	20.560641527,	 45221151
